uID,AdID,BoxID,AE,RE,AA,PI,AccX kurtosis,AccX mean,AccX num_of_peaks,AccX slope,AccX spec_phs_F1oF23,AccX spec_phs_F2oF13,AccX spec_phs_F3oF12,AccX spec_pow_F1oF23,AccX spec_pow_F2oF13,AccX spec_pow_F3oF12,AccX std,AccX total_var,EDA kurtosis,EDA mean,EDA num_of_peaks,EDA slope,EDA spec_phs_F1oF23,EDA spec_phs_F2oF13,EDA spec_phs_F3oF12,EDA spec_pow_F1oF23,EDA spec_pow_F2oF13,EDA spec_pow_F3oF12,EDA std,EDA total_var,HR kurtosis,HR mean,HR num_of_peaks,HR slope,HR spec_phs_F1oF23,HR spec_phs_F2oF13,HR spec_phs_F3oF12,HR spec_pow_F1oF23,HR spec_pow_F2oF13,HR spec_pow_F3oF12,HR std,HR total_var,SC kurtosis,SC mean,SC num_of_peaks,SC slope,SC spec_phs_F1oF23,SC spec_phs_F2oF13,SC spec_phs_F3oF12,SC spec_pow_F1oF23,SC spec_pow_F2oF13,SC spec_pow_F3oF12,SC std,SC total_var,Temp kurtosis,Temp mean,Temp num_of_peaks,Temp slope,Temp spec_phs_F1oF23,Temp spec_phs_F2oF13,Temp spec_phs_F3oF12,Temp spec_pow_F1oF23,Temp spec_pow_F2oF13,Temp spec_pow_F3oF12,Temp std,Temp total_var,diameter kurtosis,diameter mean,diameter num_of_peaks,diameter slope,diameter spec_phs_F1oF23,diameter spec_phs_F2oF13,diameter spec_phs_F3oF12,diameter spec_pow_F1oF23,diameter spec_pow_F2oF13,diameter spec_pow_F3oF12,diameter std,diameter total_var
38,4,3,3.983,4.312,3.05,3.501,-1.269252882,-31.05601617,24,-0.006766514,-46.73782122,-0.008989066,-0.012631544,1.000401914,0.999304214,7.36E-05,7.37089239,13.66623906,-0.924705526,0.443887109,1,-0.000458371,-1,-1,-1,1,0.999996075,9.81E-07,0.27154118,0.036524551,-1.007251814,70.23074845,15,-0.024129838,-58.44856693,-0.008396852,-0.008859722,1.005411027,0.98243024,0.003091792,2.208759897,3.943088469,-1.241689396,12.5154699,1,-0.031069385,-190.9669408,-0.00183496,-0.003414045,1.004913968,0.984182622,0.002768027,1.248842773,2.395488012,-1.052504904,33.24436013,0,0.001610023,-153.5755013,-0.002966375,-0.003566168,1.000003086,0.999990193,1.68E-06,0.358543022,0.110623581,-1.466117961,3.780242446,11,-0.000853798,-2.290578183,-0.224981246,-0.326397542,1.000000039,0.999999835,3.16E-08,0.810287814,5.62285162
39,4,4,3.273,4.613,3.202,3.219,-0.927235834,-41.03202154,6,5.31E-09,500.4993704,0.001634251,0.000362567,1,1,2.27E-16,5.919975523,2.32E-05,-1.068263872,0.192452995,1,0.000141007,-1.001184357,-0.365862066,-0.998816236,1,0.999999507,1.23E-07,0.019060481,0.012049421,-1.057636318,75.76803773,5,-0.060711151,-67.85705037,-0.00598242,-0.008859666,1.047972296,0.863401179,0.025578907,4.096339489,7.003351404,,,,,,,,,,,,,,,,,,,,,,,,,-0.734125536,4.170367741,11,0.007427744,-5.083410059,-0.078439416,-0.137765652,1.00000063,0.999997326,5.11E-07,0.380041729,6.835186532
46,4,1,3.982,4.045,3.17,3.309,-1.814247678,-45.6852954,13,-0.005488477,-57.28973087,-0.012974142,-0.004599296,1.000002267,0.999993468,1.07E-06,17.00698058,2.818519462,-1.207989784,0.136277029,3,0.000301722,-1.001184565,-0.307456341,-0.998816215,1,0.999999166,2.09E-07,0.015466718,0.026778453,-0.900018826,71.06952641,9,-0.103646011,-62.04666901,-0.007490096,-0.008756928,1.03709447,0.881947316,0.022766531,4.1753105,9.634341642,-1.185705863,0.743151092,5,-0.000241778,389.6353202,-0.001690608,0.004271572,1.000004413,0.999990109,1.37E-06,0.164238369,0.31191279,-1.065849971,31.87991293,1,6.89E-07,-187.6180863,-0.001997285,-0.003346021,1,1,4.43E-12,0.735626965,0.000112711,-1.48591719,4.144501563,11,0.008368845,-5.094023571,-0.079238591,-0.136591863,1.000002017,0.999991448,1.63E-06,0.703569507,5.754101719
47,4,1,2.086,4.335,1.35,3.105,-1.328649473,-42.74017132,17,0.006705293,-469.9376659,-0.000364471,-0.001764755,1.00627085,0.985090033,0.002197495,11.57176576,6.935374939,-1.164483987,3.068361871,3,-0.004840023,-1,-1,-1,1,0.99991722,2.07E-05,1.270110615,1.245681694,-0.797173971,66.60313497,7,0.02590212,-193.2048802,-0.002261353,-0.002927706,1.00115368,0.994024013,0.001211687,4.626217238,4.709492144,-1.159536662,4.225824549,2,-0.017650194,-199.9899019,-0.001659122,-0.003352226,1.003275629,0.988766479,0.00201071,1.317316203,1.377195553,-1.009993454,33.80057256,1,-7.56E-08,-1651.240621,0.001035814,-0.001638027,1,1,2.02E-14,1.044256477,1.70E-05,-1.468901019,3.857667143,13,0.00760928,-5.224044789,-0.071711304,-0.137550987,1.000000318,0.999998639,2.61E-07,0.751306678,6.06923228
48,4,2,4.028,3.974,3.215,3.501,-1.364007814,-41.9651727,14,-0.010055989,-55.2346725,-0.006859943,-0.011399613,1.000640065,0.998232603,0.000282355,3.537026687,2.682780882,-0.774701719,1.562575749,1,-0.002240871,-1,-1,-1,1,0.999864377,3.39E-05,0.748824299,0.16201737,-1.143358249,67.49410852,15,-0.13038752,-56.90839599,-0.009363002,-0.008364352,1.012563809,0.96155322,0.006723647,10.27837997,12.93419488,-1.106037335,6.186848644,1,-0.005085325,-176.8679472,-0.001709293,-0.003958136,1.000070234,0.999618632,7.78E-05,0.347082638,0.464190308,-0.961676293,29.92263306,0,0.001372588,-160.3145453,-0.00274329,-0.003513665,1.000001769,0.999994377,9.63E-07,0.580529273,0.096509954,-1.485401146,4.562001129,14,0.00396877,-5.365557247,-0.067369764,-0.135568397,1.000000394,0.999998323,3.21E-07,0.764350485,5.376385452
49,4,4,1.492,5,2.905,3.004,-1.296950631,-15.68420627,18,0.033102456,265.9069641,0.00162284,0.002130945,1.000353173,0.998587864,0.000265076,13.18889319,24.33191488,-1.021445681,0.290284365,2,0.000187473,-1.001185968,-0.04316746,-0.998815374,1,0.999990849,2.29E-06,0.121008311,0.131078259,-1.141884662,77.89286132,10,-0.025615662,-67.14496886,-0.006460237,-0.008542462,1.000119182,0.999639313,6.04E-05,7.026881239,5.146185595,-1.233028253,3.928266812,2,0.019717315,-730.2877811,-0.000234739,-0.001135117,1.000820248,0.997022589,0.000540777,1.596530459,6.029782503,-0.686208844,31.97256974,0,0.001394316,-156.1014959,-0.00287946,-0.00354699,1.000001974,0.999993728,1.07E-06,0.518971173,0.100353605,-1.525399646,4.571168285,11,0.000751672,-2.472115045,-0.140147983,-0.340501605,1,0.999999998,5.68E-10,1.006233924,6.018565017
50,4,3,4.084,1,5,5,-1.359990606,-36.62634483,0,-5.84E-32,-95.91720558,0.004982593,-0.015257005,1,1,3.45E-34,14.15734584,2.13E-11,-1.256710488,0.5666022,0,-0.003524848,-1,-1,-1,1,0.999722439,6.94E-05,0.236045134,0.266710197,-1.010114639,68.6142452,4,-0.062972263,-71.82593413,-0.005236017,-0.008777812,1.025446509,0.92294551,0.013945639,4.503323603,10.10597355,-1.03781389,5.236322223,0,-0.017185959,-190.2123125,-0.001793171,-0.003476547,1.001730307,0.994230268,0.001015433,1.042782779,1.315195274,-0.968951289,31.81342078,0,0.000560829,-163.3437688,-0.002668475,-0.003472056,1.000000254,0.999999187,1.40E-07,0.392026318,0.042180575,-1.004240762,3.727296434,9,0.003304187,-5.207173349,-0.073406303,-0.13679071,1.000000441,0.999998111,3.62E-07,0.528712877,4.469452415
51,4,4,2.623,4.788,3.061,3.054,-1.351738812,-22.67585854,185,2.74E-19,-4.545030162,0.488239458,-0.378939915,1,1,5.74E-34,5.258572686,5.33E-12,-1.289560656,0.561045958,1,0.000529237,-1.00118453,-0.347110917,-0.998816127,1,0.999994412,1.40E-06,0.054855313,0.04085674,-1.264518154,76.6881977,381,-0.013905269,-62.35807541,-0.008530021,-0.007635614,1.000610319,0.997959371,0.000358273,5.234215231,1.788254985,-0.953325369,1.396171935,0,-0.00422801,-205.2609337,-0.00153773,-0.003344378,1.000114781,0.999599262,7.15E-05,0.548575223,0.324227503,-1.168318948,30.88491917,0,0.00106808,-151.4205089,-0.00302899,-0.003596853,1.00000075,0.999997611,4.10E-07,1.261431125,0.079204431,-1.501714864,4.470857271,12,0.00602364,-5.129289943,-0.077179833,-0.136842889,1.000000348,0.999998526,2.81E-07,0.973365372,5.152129524
52,4,1,2.6,4.296,3.127,3.501,-1.014641321,-30.90053227,105,-0.015955639,-87.76376014,-0.00546351,-0.005995858,1.034033037,0.905841919,0.016607905,3.960334009,8.143639112,-0.733728985,0.402591413,2,-3.59E-32,-1,-1,-1,1,1,5.34E-32,0.218953813,0,-1.335787398,71.65384222,16,-0.070983972,-66.31446908,-0.006180822,-0.009009374,1.001622945,0.9946465,0.000937438,4.667770916,7.4231912,-1.24212147,2.679817014,4,-0.009060295,-211.749756,-0.001694281,-0.003038547,1.000428742,0.998609646,0.000240726,0.874085926,2.006399572,-1.162136926,32.31965828,2,3.04E-12,-164.748417,-0.002467566,-0.003620107,1,1,1.67E-23,0.346597835,3.22E-10,-1.545966524,4.586175095,9,0.007847229,-5.062601829,-0.080560379,-0.136836213,1.000004273,0.999981855,3.47E-06,0.901967224,7.517543934
53,4,4,2.406,4.474,2.856,3.003,-1.669434277,-47.78768323,16,0.001886872,-795.9481305,-0.000596189,-0.000660961,1.000002352,0.999993089,1.14E-06,14.55733934,2.33223583,-1.312531576,0.115314859,3,0.000100954,-1.001184691,-0.261956402,-0.998816213,1,0.99999964,9.00E-08,0.031255949,0.021203417,-1.300849308,70.4155357,5,0.07826048,-193.6703067,-0.002416562,-0.002760158,1.006490743,0.972361231,0.005418281,4.339998703,13.22804735,-1.070067728,1.336163721,2,-0.007203723,-156.1332242,-0.001312941,-0.005105208,1.000168296,0.999506696,8.13E-05,0.51131639,0.96012896,-1.072116051,30.68301582,0,-0.000271314,-50.10045953,-0.009415972,-0.01074424,1.000000094,0.999999706,5.01E-08,0.883710117,0.026038655,-1.377797847,3.954592134,10,0.003047747,-5.381588618,-0.068636036,-0.133849387,1.000000099,0.99999958,8.03E-08,0.627118201,4.582481204
54,4,3,1.814,4.61,2.595,2.732,-1.156550434,-29.23158694,11,0.003676323,-280.0915254,-0.001573115,-0.002003438,1.000053608,0.99992536,5.26E-06,8.737254065,3.432983891,-1.072261316,0.765988856,1,-0.004436506,-1,-1,-1,1,0.9996833,7.92E-05,0.298897581,0.389581817,-1.114537367,89.9208112,11,0.040440919,-177.0698354,-0.002275331,-0.00338753,1.002598853,0.990698782,0.001690151,3.501104639,6.109618507,-1.322733249,1.658838191,3,-0.005362324,-174.2938784,-0.001086092,-0.004661441,1.000168472,0.999450929,9.52E-05,0.314291359,1.102083877,-0.838982401,32.66162761,0,0.002879034,-153.5317783,-0.002950838,-0.003583552,1.000013915,0.999955834,7.56E-06,0.436109105,0.218431159,,,,,,,,,,,,
55,4,2,3.039,4.638,3.066,3.003,-1.510434433,-33.12797972,23,0.001117713,1819.964371,0.000367783,0.000181545,1.000651901,0.999262484,2.15E-05,22.47433703,8.584357709,-0.984411914,1.065231059,0,-0.002900293,-1,-1,-1,1,0.999792317,5.19E-05,0.623993889,0.211793836,-0.955023259,70.46286673,5,-0.014296876,-58.24199919,-0.008852134,-0.008466207,1.048608679,0.881296059,0.020079885,2.519728991,1.715472686,-0.621487698,0.851983268,1,-0.005380285,-196.8238036,-0.001586008,-0.00350577,1.000102486,0.999587991,7.74E-05,0.208537571,0.373789547,-1.105366651,31.68910375,0,0.000784368,-160.2141527,-0.00274919,-0.003511704,1.000000541,0.999998281,2.94E-07,0.613813909,0.054537484,-1.594160259,4.200674949,11,-0.002986754,-5.126797769,-0.074725413,-0.139087609,1.00000036,0.999998461,2.95E-07,0.847162871,6.117159327
56,4,2,3.18,4.28,2.891,3.501,-0.679391024,-23.76093327,0,2.67E-31,-0.411253892,-6.394251566,1.053989102,1,1,5.24E-34,4.745842369,0,-1.045002189,0.769991721,1,-0.002172157,-1,-1,-1,1,0.999907681,2.31E-05,0.260507595,0.250286665,-1.069797767,74.31789717,8,-0.05910017,-61.31285166,-0.007737251,-0.008706168,1.005187899,0.985580847,0.002342823,3.343745463,5.346773023,-1.187603898,3.541188376,1,-0.014841341,-193.3529889,-0.001704412,-0.003479306,1.000806856,0.996640978,0.000639945,0.626889688,1.471011671,0.439604022,32.64043292,0,-0.000611345,-52.4417803,-0.008622678,-0.010627617,1.000000626,0.999998018,3.39E-07,0.258688418,0.054562415,-1.779168628,4.72515522,9,0.004288181,-5.213172327,-0.073173469,-0.136740546,1.000001058,0.999995507,8.59E-07,1.19429754,7.532787498
57,4,1,3.365,3.976,2.905,3.165,-1.435076572,-32.39797885,14,-0.018162529,-46.0169532,-0.011243688,-0.010726013,1.002107319,0.994262656,0.00091302,8.855450004,7.807622162,-1.284931661,1.261538081,4,0.001365318,-1,-1,-1,1,0.999757427,6.07E-05,0.335473181,1.059929078,-1.145538492,86.39049957,52,-0.124637745,-62.61615983,-0.007278512,-0.008819162,1.003085818,0.989811833,0.001793026,4.914465318,7.735460103,-1.0167577,2.572642126,3,-0.00308131,-242.9099089,-0.001180173,-0.002943513,1.000154336,0.999662152,4.59E-05,0.605826985,0.851942688,-1.004200577,32.70286527,1,-4.85E-08,-45.36038559,-0.011240493,-0.011050871,1,1,1.89E-14,0.872073609,6.20E-06,-1.524031178,5.345756805,12,0.005079986,-5.152272851,-0.076887721,-0.136099056,1.000000334,0.999998585,2.70E-07,0.940217529,4.353316159
58,4,3,3.301,4.382,3.096,3.309,-1.493122114,-28.75532511,19,0.003554176,-333.2266616,-0.000586086,-0.002417704,1.000011802,0.999982327,1.47E-06,22.69592776,5.62791894,-0.980450584,0.814715376,1,-0.002363075,-1,-1,-1,1,0.999905904,2.35E-05,0.471652985,0.16984761,-0.852033994,96.60176941,1,-0.032697391,-250.8524561,0.000402471,-0.004385355,1.00001403,0.999779563,5.16E-05,12.40727021,12.06379158,-0.736721348,3.842397411,4,-0.005429267,-215.7275665,-0.00148119,-0.003163636,1.00024601,0.999094877,0.000164915,0.46655255,1.176686681,-0.341649077,32.07393225,0,0.002460039,-151.1822992,-0.003042472,-0.003593855,1.000009051,0.999971243,4.93E-06,0.621289588,0.190181223,-1.547633889,4.418592444,9,0.004235075,-5.309922418,-0.069980134,-0.135529064,1.000000422,0.999998193,3.46E-07,0.925308039,5.626211363
60,4,2,2.268,3.825,2.856,2.834,-1.435971709,-39.62292481,14,-0.007304284,-65.04776914,-0.007600557,-0.007891803,1.000023266,0.999898089,1.97E-05,12.75066469,3.163870058,-0.636767563,0.485587873,4,-0.001856244,-1,-1,-1,1,0.999900926,2.48E-05,0.214056352,0.167422889,-1.180053494,84.99420085,6,0.054284699,-179.2624104,-0.002525382,-0.003068487,1.006198939,0.978615801,0.003873831,4.006073588,10.09497544,,,,,,,,,,,,,,,,,,,,,,,,,-1.515180864,4.859712,11,0.007770816,-2.253542084,-0.21967321,-0.34046732,1.000000008,0.999999963,7.36E-09,0.98848095,7.734521654
