uID,AdID,BoxID,AE,RE,AA,PI,AccX kurtosis,AccX mean,AccX num_of_peaks,AccX slope,AccX spec_phs_F1oF23,AccX spec_phs_F2oF13,AccX spec_phs_F3oF12,AccX spec_pow_F1oF23,AccX spec_pow_F2oF13,AccX spec_pow_F3oF12,AccX std,AccX total_var,EDA kurtosis,EDA mean,EDA num_of_peaks,EDA slope,EDA spec_phs_F1oF23,EDA spec_phs_F2oF13,EDA spec_phs_F3oF12,EDA spec_pow_F1oF23,EDA spec_pow_F2oF13,EDA spec_pow_F3oF12,EDA std,EDA total_var,HR kurtosis,HR mean,HR num_of_peaks,HR slope,HR spec_phs_F1oF23,HR spec_phs_F2oF13,HR spec_phs_F3oF12,HR spec_pow_F1oF23,HR spec_pow_F2oF13,HR spec_pow_F3oF12,HR std,HR total_var,SC kurtosis,SC mean,SC num_of_peaks,SC slope,SC spec_phs_F1oF23,SC spec_phs_F2oF13,SC spec_phs_F3oF12,SC spec_pow_F1oF23,SC spec_pow_F2oF13,SC spec_pow_F3oF12,SC std,SC total_var,Temp kurtosis,Temp mean,Temp num_of_peaks,Temp slope,Temp spec_phs_F1oF23,Temp spec_phs_F2oF13,Temp spec_phs_F3oF12,Temp spec_pow_F1oF23,Temp spec_pow_F2oF13,Temp spec_pow_F3oF12,Temp std,Temp total_var,diameter kurtosis,diameter mean,diameter num_of_peaks,diameter slope,diameter spec_phs_F1oF23,diameter spec_phs_F2oF13,diameter spec_phs_F3oF12,diameter spec_pow_F1oF23,diameter spec_pow_F2oF13,diameter spec_pow_F3oF12,diameter std,diameter total_var
28,4,4,3.635,4.369,3.164,3.219,-0.995012325,-36.15483686,16,-0.005832235,-82.9413052,-0.010017437,-0.002080717,1.000110882,0.999585158,7.60E-05,1.512408395,2.752487169,-1.058631293,0.237585971,4,-5.91E-05,-1,-1,-1,1,0.999999919,2.03E-08,0.045145892,0.008993671,-1.160510412,67.51765719,345,-0.086395809,-56.28313641,-0.00939293,-0.008533262,1.005907053,0.981087443,0.003311794,6.392955322,8.236195029,-1.112459901,1.623491372,0,-0.001082227,-191.4995869,-0.001760435,-0.003473707,1.000006562,0.999973185,5.06E-06,0.352685952,0.075734581,-1.063866652,30.20887179,0,0.000627812,-157.0751851,-0.002802687,-0.003583715,1.000000355,0.999998874,1.93E-07,0.309559438,0.043346064,-1.636465446,4.275064114,10,0.000207661,-4.990945547,-0.080439709,-0.140221981,1.000000288,0.999998771,2.35E-07,0.877689953,5.464203939
29,4,4,4.085,3.407,2.96,3.309,-0.593262449,-41.80836105,0,1.78E-18,-364.6712108,-0.001314854,-0.0014311,1,1,6.79E-34,2.22663547,2.12E-11,-1.409040656,0.840583593,0,-0.000989523,-1,-1,-1,1,0.999971814,7.05E-06,0.449528281,0.073528985,-1.161734311,72.24387384,22,-0.142871248,-65.68617994,-0.006942564,-0.008397045,1.038438583,0.894377791,0.018796149,3.503273325,10.7990673,-1.151933457,1.544112185,1,-0.001891525,-192.9230389,-0.001636915,-0.003558118,1.000017805,0.999927725,1.36E-05,0.337153062,0.183964822,-0.895904944,32.01188848,0,0.000448609,-157.599805,-0.002825561,-0.003539564,1.000000207,0.99999934,1.13E-07,0.763123506,0.03564215,-1.602602873,3.951462034,13,-0.004745509,-2.268070311,-0.229486923,-0.329202697,1.000000104,0.999999549,8.67E-08,0.997082774,8.35015898
30,4,4,3.308,1,3.066,3.171,-0.942028104,-35.52577759,14,0.016195334,-149.7065444,-0.002837684,-0.003863907,1.000023983,0.999936765,9.81E-06,15.27798097,2.602119106,-1.693765396,0.213421672,3,4.86E-05,-1.001185454,-0.354127739,-0.998815181,1,0.999999894,2.64E-08,0.046997064,0.009242879,-1.209324087,73.59878387,4,-0.007635599,-61.42529768,-0.007505696,-0.008906857,1.000195202,0.999341824,0.000115816,5.747592223,1.234536972,-0.643195237,1.009311912,0,-0.004254706,-197.9591012,-0.001628834,-0.003433872,1.000074833,0.999738699,4.66E-05,0.412921106,0.321023257,-0.968202698,32.34549298,0,-0.002016217,-51.56985808,-0.008904085,-0.010675352,1.000002382,0.999992435,1.30E-06,0.9921029,0.142295264,-1.467067389,3.721848119,11,-0.003968692,-2.284614227,-0.227368692,-0.326220664,1.000001727,0.999992636,1.41E-06,0.589330418,7.169774371
31,4,2,3.558,4.445,2.856,3.054,-1.548962058,-48.28700882,16,-0.000603353,-158.0045089,-0.012121629,0.005936152,1.000001741,0.999995962,5.74E-07,18.02576477,2.526459931,-0.481492355,0.69903573,1,-0.001159269,-1,-1,-1,1,0.999973803,6.55E-06,0.370426596,0.098785962,-0.626197535,77.37635764,1,-0.139721813,-67.54061023,-0.006137001,-0.008775823,1.0155994,0.950355399,0.008936552,3.088589172,10.92314721,-1.178521522,4.329922247,2,-0.025458411,-194.9686245,-0.001612842,-0.003527538,1.002307145,0.989200898,0.002142893,0.77538587,1.914420045,-0.061812303,31.87339437,0,0.001179627,-149.0348091,-0.003105172,-0.00362712,1.000001766,0.999994399,9.59E-07,0.577729663,0.095220878,-1.471610917,4.785488177,12,-0.005993567,-2.203983244,-0.249465349,-0.332529175,1.000001884,0.999991986,1.53E-06,0.994859721,13.4489799
32,4,4,2.944,4.223,3.288,3.501,-1.347939334,-25.08423245,19,-0.017465292,-49.62497879,-0.010467179,-0.009888895,1.000143749,0.999671897,4.61E-05,12.54669066,7.378828062,-1.064208587,0.161486281,5,-1.51E-05,-1,-1,-1,1,0.999999986,3.60E-09,0.025285216,0.009096693,-0.949846758,62.08166197,19,-0.045442013,-58.67929787,-0.008832167,-0.008355963,1.066104082,0.819649428,0.034724451,4.318865493,5.639951397,-1.334583116,0.430958969,0,-0.000606477,-208.5126403,-0.001438636,-0.003366901,1.00000181,0.999992461,1.43E-06,0.041534702,0.046462311,-1.122141007,30.3489815,0,0.000795026,-157.6258088,-0.00281069,-0.00355336,1.000000655,0.999997919,3.57E-07,0.074009958,0.052426053,,,,,,,,,,,,
33,4,2,2.761,4.336,3.124,3.501,-1.450909415,-38.58080897,12,0.011989985,-53.11546517,-0.006640998,-0.012348378,1.001186739,0.991929468,0.001732295,13.84058532,20.12626642,-1.171607369,0.199143367,1,-0.000391957,-1,-1,-1,1,0.999997168,7.08E-07,0.025652305,0.038758798,-0.7677179,74.09034759,14,-0.045297989,-63.84512844,-0.006651997,-0.009131439,1.011321877,0.964221931,0.006332756,3.250921404,6.015035415,-1.1598988,3.421163385,1,-0.008576453,-217.9699583,-0.001624213,-0.002973211,1.000314452,0.998258615,0.000357253,0.472734567,0.950176193,-1.061631618,31.39282893,0,0.001521695,-151.0543682,-0.003037109,-0.003604848,1.000002229,0.99999291,1.22E-06,0.776913507,0.108638031,-1.461919915,4.167609449,12,-0.00088515,-2.376001765,-0.200906649,-0.322183251,1.000000483,0.999997945,3.93E-07,0.787051158,8.430111908
34,4,1,2.776,4.516,3.039,2.894,-0.787852656,-33.29681247,0,-4.89E-32,1.18900572,0.278558439,0.313990103,1,1,2.38E-34,8.570397249,0,-1.183373912,3.232689996,1,0,-1,-1,-1,1,1,5.49E-32,1.203071173,0,-0.957976676,78.30076693,5,-0.158515267,-61.53289175,-0.007140116,-0.009242264,1.009584835,0.969389324,0.005416012,4.503326815,10.46295652,-1.073181665,5.541710879,6,-0.000480301,-4183.214001,7.50E-05,-0.000314038,1.0002661,0.998898997,0.00020893,0.566297891,1.744224957,-1.047144651,31.46477253,1,1.23E-06,-93.23889445,0.00661693,-0.017116761,1,1,4.84E-13,0.092902985,0.000244751,-1.393582838,4.355440119,12,-0.001444506,-2.244862515,-0.237912334,-0.329361619,1.000000894,0.999996166,7.35E-07,0.750757073,9.971637543
35,4,2,3.403,4.045,2.905,3.047,-1.445646509,-53.28725788,14,0.001373972,-521.8924084,-2.08E-05,-0.0018954,1.000039359,0.999928107,8.13E-06,10.76387854,4.43531854,-1.36475629,3.59977612,1,0.000442052,-1.003635858,0.226548951,-0.996379736,1.000000022,0.997395379,0.000652424,2.427459704,0.347848709,-1.136750592,58.93558944,4,-0.153239168,-68.92723105,-0.006263334,-0.008348541,1.050174021,0.847906154,0.029777557,5.987617463,16.72654398,-1.096619044,6.835578325,0,-0.033954589,-189.1631745,-0.00179695,-0.003502043,1.004312792,0.985722324,0.002525568,1.426815065,2.510842576,-0.89843525,32.65138425,0,0.000756921,-173.7590314,-0.002419336,-0.003351932,1.000000252,0.999999187,1.40E-07,0.888468482,0.075071867,-1.36859235,4.017708446,10,-0.003363216,-5.077697411,-0.080417075,-0.136283221,1.000002637,0.999988706,2.16E-06,0.834809683,9.729541761
36,4,4,3.331,4.477,2.958,3.353,-0.255213469,-41.54854131,0,1.13E-18,123.1168528,0.013538207,-0.005272502,1,1,8.89E-34,2.932415907,2.13E-11,-0.905137705,1.598372926,1,0.000503416,-1.001187133,-0.323310377,-0.998813602,1,0.999993476,1.63E-06,0.454580863,0.042320662,-1.139209949,84.72276896,45,-0.158086137,-64.39229703,-0.006716062,-0.0089328,1.037741612,0.890018136,0.020236186,3.577946813,10.42814065,-1.291216208,7.244490308,0,-0.029305483,-193.7811933,-0.001693343,-0.003478868,1.004810379,0.982501737,0.003223828,1.405739546,2.222182458,-1.201046631,33.27945748,0,0.002728006,-155.8961559,-0.002884379,-0.003550564,1.000007135,0.999977314,3.89E-06,0.58365091,0.19752699,-1.317766099,4.311065756,11,-0.004211478,-2.168679994,-0.264661971,-0.331437933,1.000001226,0.99999483,9.86E-07,0.826461757,8.667199911
37,4,2,2.873,4.864,3.036,3.501,-1.31446755,-36.96575525,93,8.47E-06,-0.281572957,2.563139086,2.054192297,1.000000002,0.999999996,6.61E-10,7.322827952,0.020732356,-1.039850843,0.96555117,0,-0.001165229,-1,-1,-1,1,0.999964302,8.92E-06,0.519344192,0.082762157,-1.241403445,63.3799666,7,-0.274927027,-63.25768643,-0.006985841,-0.008946524,1.016901944,0.948912501,0.008996813,7.222223272,17.19885062,-0.993958058,1.634297432,2,-0.00318659,-192.2023664,-0.001798385,-0.003416722,1.000045759,0.999837099,2.93E-05,0.259923816,0.305063656,-1.02500789,32.40162375,0,0.001848569,-152.6830591,-0.002986936,-0.003583919,1.000003768,0.999988046,2.05E-06,0.579668207,0.137846229,-1.435618945,3.700383999,12,0.006205767,-5.18604728,-0.073436756,-0.137657242,1.000000453,0.999998088,3.65E-07,0.663702509,5.320066708
